(matchnum, 1), (teamnum, 115), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 1), (Possession_Rating, 1), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 1), (Malfunction, 1), (Pickup_Rating, 1), (Defense_Rating, 4), (Driver_Rating, 8), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 0), 
(matchnum, 2), (teamnum, 604), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 2), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 32), (3_Assist, 1), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 16), (Defense_Rating, 16), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 0), 
(matchnum, 3), (teamnum, 701), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 1), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 2), (Truss, 0), (Possess_Number, 5), (Possession_Rating, 64), (3_Assist, 0), (2_Assist, 3), (Tele_High_Miss, 1), (Tele_High, 1), (Tele_Low_Miss, 0), (Tele_Low, 2), (Malfunction, 0), (Pickup_Rating, 64), (Defense_Rating, 8), (Driver_Rating, 128), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 0), 
(matchnum, 4), (teamnum, 8), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 1), (Possession_Rating, 1), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 1), (Malfunction, 1), (Pickup_Rating, 1), (Defense_Rating, 4), (Driver_Rating, 4), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 0), 
(matchnum, 5), (teamnum, 2489), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 3), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 64), (Defense_Rating, 16), (Driver_Rating, 4), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 6), (teamnum, 766), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 1), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 4), (Possession_Rating, 8), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 3), (Malfunction, 0), (Pickup_Rating, 4), (Defense_Rating, 16), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 7), (teamnum, 4159), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 3), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 3), (Malfunction, 0), (Pickup_Rating, 2), (Defense_Rating, 16), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 8), (teamnum, 4765), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 1), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 1), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 1), (Malfunction, 0), (Pickup_Rating, 64), (Defense_Rating, 64), (Driver_Rating, 16), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 9), (teamnum, 751), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 2), (Defense_Rating, 64), (Driver_Rating, 8), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 10), (teamnum, 1868), (Auto_Missed_High, 1), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 4), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 2), (3_Assist, 0), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 1), (Pickup_Rating, 1), (Defense_Rating, 4), (Driver_Rating, 1), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 11), (teamnum, 4990), (Auto_Missed_High, 0), (Auto_Missed_Low, 1), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 2), (Catch, 0), (Truss, 0), (Possess_Number, 2), (Possession_Rating, 8), (3_Assist, 0), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 1), (Malfunction, 0), (Pickup_Rating, 4), (Defense_Rating, 32), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 1), (Human_Pass, 0), 
