matchnum,teamnum,Auto_Missed_High,Auto_Missed_Low,Auto_Mobility,Auto_High_Hot,Auto_High,Auto_Low_Hot,Auto_Low,Dead_Bot,Robot_Job,Catch,Truss,Possession_Rating,3_Assist,2_Assist,Tele_High_Miss,Tele_High,Tele_Low_Miss,Tele_Low,Pickup_Rating,Defense_Rating,Driver_Rating,Tech_Fouls,Fouls,Goal_Defense,Human_Pass,ds
43,1280,1,0,1,0,0,0,0,0,1,0,0,32,0,0,1,4,0,0,64,16,32,0,0,0,0,Red1
54,1280,1,0,1,0,0,0,0,0,1,0,1,64,0,0,0,3,0,0,64,32,64,0,0,0,0,Red1
73,1280,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,64,2,256,0,0,0,0,Red1
83,1280,0,0,1,0,0,0,0,0,1,0,0,8,0,2,1,0,0,3,4,2,32,0,0,0,0,Red1
97,1280,1,0,1,0,0,0,0,0,1,0,0,8,0,1,2,0,0,2,8,1,32,0,0,0,0,Red3
18,1280,0,0,1,1,0,0,0,0,3,0,0,1,0,1,0,0,0,1,8,1,1,0,0,0,0,Blue4
24,1280,0,0,1,0,1,0,0,0,1,0,1,8,0,0,1,0,0,1,8,1,4,0,0,0,0,Blue4
67,1280,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,Blue4
102,1280,0,0,1,0,0,0,0,0,1,0,0,16,0,0,1,0,0,3,64,1,32,0,0,0,0,Blue4
8,1280,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,32,16,32,0,0,0,1,Blue6
59,1280,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,8,1,8,0,0,0,0,Blue6
36,5250,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,Red1
48,5250,0,0,1,0,0,0,0,0,3,0,0,8,0,1,0,0,0,1,32,8,32,0,0,0,1,Red1
95,5250,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red1
41,5250,0,0,1,0,0,0,0,0,1,0,0,32,0,2,0,0,0,2,32,2,16,0,0,0,0,Red2
12,5250,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,16,16,0,0,0,0,Red3
59,5250,0,0,1,0,0,0,0,0,1,0,0,32,0,1,0,0,0,0,1,1,4,0,0,0,0,Red3
72,5250,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Red3
5,5250,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,Blue4
25,5250,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,Blue4
77,5250,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue4
88,5250,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,Blue4
101,5250,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,4,0,0,0,0,Blue4
18,1671,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,1,128,1,128,0,0,0,0,Red1
27,1671,1,0,1,0,1,0,0,0,1,0,2,8,0,1,3,0,0,0,32,16,64,0,0,0,1,Red1
71,1671,0,0,1,1,1,0,0,0,1,0,3,256,0,0,2,1,0,0,256,1,256,1,0,0,1,Red1
98,1671,0,0,1,1,1,0,0,0,1,0,1,64,0,0,1,1,0,0,16,4,64,0,0,0,0,Red1
104,1671,1,0,1,0,1,0,0,0,1,0,3,64,0,2,0,2,0,0,16,2,64,0,0,0,1,Red1
35,1671,1,0,1,1,0,0,0,0,1,0,3,256,1,2,0,1,0,0,256,2,256,0,0,0,0,Red2
83,1671,2,0,0,0,1,0,0,0,1,2,3,64,0,0,0,0,0,1,32,16,32,0,0,0,0,Red2
9,1671,1,0,1,1,0,0,0,0,1,0,4,0,0,2,0,5,0,0,32,2,256,0,0,0,1,Blue4
42,1671,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0,2,64,16,64,0,0,0,1,Blue4
47,1671,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Blue4
63,1671,0,0,1,1,0,0,0,0,1,0,2,256,1,1,1,1,0,1,128,4,256,0,0,0,1,Blue5
76,1671,0,0,1,0,0,0,0,0,1,0,0,16,3,0,0,0,0,0,8,8,16,0,0,0,0,Blue5
