matchnum,teamnum,Auto_Missed_High,Auto_Missed_Low,Auto_Mobility,Auto_High_Hot,Auto_High,Auto_Low_Hot,Auto_Low,Dead_Bot,Robot_Job,Catch,Truss,Possess_Number,Possession_Rating,3_Assist,2_Assist,Tele_High_Miss,Tele_High,Tele_Low_Miss,Tele_Low,Malfunction,Pickup_Rating,Defense_Rating,Driver_Rating,Tech_Fouls,Fouls,Goal_Defense,Human_Pass,ds
9,256,0,0,1,0,1,0,0,0,1,0,1,3,5,0,1,0,1,0,1,0,4,2,4,0,0,0,0,Red1
34,256,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,Red1
16,256,1,0,0,0,0,0,0,0,1,0,1,4,5,0,0,1,0,1,2,0,5,0,6,0,0,0,0,Red2
63,256,0,0,1,1,0,0,0,0,1,0,0,4,2,0,2,0,3,0,0,0,4,2,4,0,0,0,0,Red2
22,256,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,2,0,3,0,0,0,0,Red3
81,256,0,0,1,0,1,0,0,0,1,0,0,3,4,1,1,1,2,0,0,0,3,0,6,0,0,0,0,Red3
42,256,0,0,1,1,0,0,0,0,1,0,1,4,6,0,2,1,1,0,0,0,5,0,5,0,0,0,1,Blue4
69,256,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,Blue4
94,256,0,0,1,1,0,0,0,0,1,0,0,3,7,1,1,0,3,0,0,0,7,1,7,0,0,0,0,Blue4
100,256,0,0,1,0,1,0,0,0,3,0,0,3,5,0,1,0,2,0,0,0,6,6,6,0,0,0,0,Blue5
54,256,0,0,1,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,0,0,4,3,5,0,0,0,0,Blue6
28,1280,1,0,1,0,0,0,0,0,1,0,0,1,4,1,0,1,0,0,0,0,5,3,2,0,0,0,0,Red1
40,1280,1,0,1,0,0,0,0,0,1,0,0,3,3,0,1,0,0,0,0,0,3,2,4,0,0,0,0,Red1
72,1280,1,0,1,0,0,0,0,0,3,0,0,3,4,2,2,0,0,0,0,0,4,4,4,0,0,0,0,Red2
82,1280,1,0,1,0,0,0,0,0,1,0,1,3,3,0,0,2,0,1,3,0,2,1,2,0,0,0,0,Red2
5,1280,0,0,1,0,0,0,0,0,2,0,0,1,4,1,0,0,0,0,0,0,2,6,3,0,0,1,0,Red3
60,1280,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,Blue4
16,1280,1,0,1,0,0,0,0,0,1,0,0,3,5,0,2,0,0,0,2,1,4,0,2,0,0,0,0,Blue5
35,1280,0,0,1,1,0,0,0,0,1,0,0,4,5,0,3,0,3,0,0,0,4,2,5,0,0,0,0,Blue5
49,1280,1,0,1,0,0,0,0,0,3,0,0,1,3,0,0,0,1,0,0,0,2,3,5,0,0,0,0,Blue5
89,1280,0,0,1,1,0,0,0,0,3,0,2,3,6,0,2,0,0,0,0,0,6,2,5,0,0,0,0,Blue5
39,8,0,0,1,0,0,0,0,0,3,0,0,2,5,1,1,0,0,0,0,0,6,5,5,0,0,0,0,Red1
65,8,1,0,1,0,0,0,0,0,1,0,1,2,5,0,1,0,0,0,0,0,5,6,6,0,0,0,0,Red1
18,8,0,0,1,0,0,0,0,0,1,0,0,3,4,1,0,0,0,0,0,0,5,1,4,0,0,0,0,Red2
44,8,0,0,1,0,0,0,0,0,1,0,0,3,8,2,0,0,0,0,2,0,5,3,7,0,0,0,0,Red3
82,8,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Red3
96,8,0,0,1,0,0,0,0,0,3,0,0,4,8,0,0,1,0,1,2,0,4,5,7,0,0,1,0,Red3
26,8,0,0,1,0,0,0,0,0,1,0,0,2,4,0,1,0,0,0,0,0,3,0,4,0,0,0,0,Blue4
51,8,0,0,0,0,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,5,4,0,0,0,0,Blue5
9,8,0,0,1,1,0,0,0,0,2,0,0,1,4,1,0,0,0,0,0,0,4,5,4,0,0,0,0,Blue6
74,8,0,0,1,0,1,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,8,5,7,0,0,0,0,Blue6
61,5311,0,0,1,0,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0,3,0,5,0,0,0,0,Red1
14,5311,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,Red2
25,5311,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,3,0,2,0,0,0,0,Red2
4,5311,0,0,1,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red3
4,5311,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Red3
45,5311,1,0,1,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,3,6,4,0,0,1,0,Red3
37,5311,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,3,0,2,0,0,0,0,Blue5
55,5311,1,0,1,0,0,0,0,0,1,0,2,3,3,0,0,0,0,0,0,0,1,3,3,0,0,0,0,Blue5
69,5311,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Blue5
79,5311,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Blue5
97,5311,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,Blue5
88,1678,0,0,1,1,1,0,0,0,3,0,4,5,6,0,1,0,0,0,0,0,6,5,6,0,0,0,0,Red1
40,1678,0,0,1,1,1,0,0,0,1,0,4,5,7,4,1,0,0,0,2,0,8,4,8,0,0,0,1,Red2
52,1678,0,0,1,1,1,0,0,0,3,0,3,2,7,2,1,0,0,0,0,0,7,4,8,0,0,0,0,Red2
71,1678,0,0,1,0,1,0,0,0,1,0,4,4,5,0,0,0,0,0,0,0,5,3,6,0,0,1,1,Red2
33,1678,0,0,1,0,1,0,0,0,1,1,2,4,8,0,1,3,1,0,1,0,6,0,6,0,0,0,0,Red3
14,1678,0,0,1,0,1,0,0,0,1,0,0,4,8,4,0,0,0,0,0,0,8,3,8,0,0,0,0,Blue5
28,1678,0,0,1,1,0,0,0,0,1,0,0,5,7,5,0,0,0,0,0,0,7,0,7,0,0,0,0,Blue5
78,1678,1,0,1,1,0,0,0,0,1,0,1,5,7,2,1,0,1,0,1,0,6,1,7,0,0,0,1,Blue5
8,1678,0,0,1,1,1,0,0,0,1,0,0,4,6,3,0,0,0,0,4,0,6,0,6,0,0,0,0,Blue6
65,1678,2,0,1,1,0,0,0,0,1,0,0,3,7,3,0,1,3,0,1,0,7,2,6,0,0,0,0,Blue6
45,3482,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,Red1
54,3482,0,0,1,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,1,0,3,1,3,0,0,0,0,Red1
82,3482,0,0,1,0,0,0,0,0,3,0,1,2,7,0,1,0,0,0,1,0,4,6,6,0,0,0,0,Red1
73,3482,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Red3
93,3482,0,0,1,0,1,0,0,0,1,0,0,3,6,2,0,0,0,0,0,0,5,2,6,0,0,0,0,Red3
19,3482,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,1,3,3,4,0,0,0,0,Blue4
67,3482,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,Blue4
10,3482,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,4,0,2,0,0,0,0,Blue5
24,3482,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue5
30,3482,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue6
27,668,0,0,1,1,0,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,3,2,0,1,0,0,Red1
58,668,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Red1
19,668,0,0,1,0,1,0,0,0,1,0,0,2,3,0,1,2,0,0,0,0,3,1,2,0,0,0,0,Red3
41,668,0,0,1,0,1,0,0,0,2,0,1,3,6,0,0,0,0,0,0,0,6,8,8,0,0,1,0,Red3
75,668,0,0,0,1,0,0,0,0,1,0,0,2,5,0,0,0,2,0,0,0,4,0,5,0,0,0,0,Blue4
84,668,0,0,1,0,1,0,0,0,3,0,0,2,7,2,0,2,1,0,1,0,6,4,6,0,0,0,0,Blue4
89,668,0,0,1,1,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,3,2,7,0,0,0,0,Blue4
6,668,0,0,1,1,0,0,0,0,3,0,0,2,6,0,0,1,1,0,0,0,6,4,5,0,0,0,0,Blue5
34,668,0,0,1,0,0,0,0,0,1,0,0,4,4,2,0,0,0,0,0,0,5,2,5,0,0,0,0,Blue5
67,668,0,0,1,1,0,0,0,0,3,0,0,4,5,2,0,1,1,0,0,0,2,3,6,0,0,0,0,Blue5
60,4765,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Red1
95,4765,0,0,1,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,4,3,4,0,0,0,1,Red1
46,4765,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,Red2
55,4765,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,Red3
2,4765,1,0,1,0,0,0,0,0,1,0,0,2,5,0,2,0,0,0,0,0,5,6,5,0,0,1,0,Blue4
38,4765,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue4
27,4765,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,4,3,0,0,0,0,Blue5
18,4765,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Blue6
73,4765,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Blue6
78,4765,0,0,1,0,1,0,0,0,1,0,0,2,6,2,0,0,0,0,2,0,4,1,5,0,0,0,0,Blue6
2,670,0,0,1,0,1,0,0,0,1,0,0,4,2,1,0,0,1,0,1,0,3,2,4,0,0,0,0,Red1
59,670,0,0,1,0,0,0,0,0,3,0,1,2,6,1,0,0,0,0,0,0,6,2,5,0,0,0,0,Red1
13,670,1,0,1,0,0,0,0,0,1,0,2,2,5,0,2,0,1,0,0,0,6,2,4,0,0,0,0,Red3
26,670,0,0,1,1,0,0,0,0,1,0,0,3,6,0,0,0,0,0,1,0,6,0,5,0,0,0,0,Red3
45,670,0,0,1,0,0,0,0,0,2,1,0,0,2,0,2,0,0,0,0,0,5,2,3,0,0,0,0,Blue4
31,670,0,0,1,0,1,0,0,0,1,0,1,4,5,3,1,0,0,0,0,0,5,2,4,0,0,0,0,Blue5
86,670,0,0,1,0,0,0,0,0,1,0,0,4,7,1,4,0,0,0,0,0,7,0,6,0,0,0,0,Blue5
94,670,0,0,1,0,1,0,0,0,3,0,1,2,6,1,0,0,0,0,0,0,6,6,5,0,0,0,0,Blue5
53,670,0,0,1,0,1,0,0,0,1,0,2,3,5,0,1,0,0,0,1,0,4,3,5,0,0,0,0,Blue6
